Station,Model,Location_Intercept,Location_Slope,Scale_Intercept,Scale_Slope,Shape,Location_SE_Intercept,Location_SE_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape_SE,Location_Slope_Significant,Shape_Significant,Scale_Slope_Significant,start_date,end_date,num_years
Avasjö-Borgafjäll D,Stationary,29.749464559105085,NA,7.17229947848495,NA,NA,0.9665015714227312,NA,0.7376957247397655,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Avasjö-Borgafjäll D,Exp model,27.130613217139654,0.08825178912197691,1.9459613378895633,6.215337303675763e-6,NA,1.9094436854332517,0.05440764537697522,0.20471453378916526,0.00559432877182661,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Avasjö-Borgafjäll D,Linear model,27.130605588121696,0.08825242186372172,7.000500892859108,3.8812285608240854e-5,NA,1.908394683976734,0.0543601827128739,1.4165046704923834,0.03857801267573983,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Finnbacka D,Stationary,28.331845938827758,NA,7.955522526220208,NA,NA,1.0686052726978312,NA,0.8181210821855196,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Finnbacka D,Exp model,32.21151824380808,-0.12092018180212774,1.9981999886705535,8.987191582037989e-4,NA,2.0271337318820075,0.05790344551390424,0.21534370131574823,0.006302320848395018,NA,TRUE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Finnbacka D,Linear model,32.20042064421365,-0.12055937831257625,7.346200050948855,0.007714108543316923,NA,2.0357518900524045,0.05833016094960525,1.6850090079519056,0.05075826728636949,NA,TRUE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Gendalen,Stationary,29.400001060337868,NA,7.616694633903972,NA,NA,1.0264219017109069,NA,0.7840326928937871,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Gendalen,Exp model,27.08433831918794,0.07803452139363752,1.9254604953266585,0.002888853228061523,NA,1.9313080354852221,0.057549706963741815,0.20705004753927703,0.005561912457675606,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Gendalen,Linear model,27.09189015232034,0.07779528927980132,6.859040288934592,0.021062526764486233,NA,1.929314070479057,0.057391930330911715,1.4629974800144248,0.04091997495250369,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Grönliden,Stationary,28.163865084567824,NA,8.011133906325155,NA,NA,1.0748982451652758,NA,0.8267571774349626,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Grönliden,Exp model,29.1350649445152,-0.0315540354581097,2.137636364300572,-0.0018995539847604995,NA,2.2063756220399457,0.060864507345776246,0.21370136692250316,0.005877512247715898,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Grönliden,Linear model,29.135918442832924,-0.03158181789522776,8.46744564415505,-0.015111489331099995,NA,2.2077918641174685,0.060927631111236634,1.7570701208976491,0.04706932306067255,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Hallstaberg,Stationary,28.060217848980784,NA,9.184608379949909,NA,NA,1.2228913371675139,NA,0.9728779175406891,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Hallstaberg,Exp model,28.16697062522993,-0.00285878257798139,2.3591784358556125,-0.004808286226695384,NA,2.635454270826755,0.06945281953488108,0.22946637000645498,0.0066378718118237385,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Hallstaberg,Linear model,28.233670834231035,-0.00585226046702178,11.016355517816649,-0.058954548355273174,NA,2.7125553445767006,0.07026085361005668,2.5318057331324777,0.06824349510750326,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Hanö A,Stationary,24.415538211409654,NA,8.248981482790033,NA,NA,1.1042595374137856,NA,0.8606928270548897,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Hanö A,Exp model,21.66016441519223,0.09266990758342866,1.8857908978175828,0.006785221249747712,NA,1.9860671733553577,0.06308891631331631,0.22573355670571255,0.0066160284089660185,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Hanö A,Linear model,21.582789738996198,0.0948210902156968,6.384350592762777,0.05841915886288485,NA,1.974634829629984,0.06278236526739762,1.622681996613083,0.053061524437318326,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Heden,Stationary,35.73344325407689,NA,8.197664152518609,NA,NA,1.1071163316843018,NA,0.8172550294824895,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Heden,Exp model,32.69956493400948,0.10303521842273744,1.909495437404867,0.0057516173586639385,NA,1.9851827358436187,0.06190253155610076,0.2097605813624577,0.0061714055163461685,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Heden,Linear model,32.67943567560832,0.10391810832670512,6.440362528832428,0.05424879543493901,NA,1.9405781741006234,0.061504136845654714,1.6185523007656275,0.0536651093220294,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Hyltan,Stationary,27.247172872148568,NA,8.345570717962287,NA,NA,1.1174088447385697,NA,0.8819508032659137,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Hyltan,Exp model,23.499768736368402,0.12808105932233654,1.6373599386475166,0.01419609652022692,NA,1.7137607394678054,0.062152812412871405,0.22024090031225918,0.006322409064137716,NA,TRUE,NA,TRUE,1963-10-01,2024-09-30,60.99931553730322
Hyltan,Linear model,23.533928990177667,0.12779048244161076,4.595034939448019,0.11698100575577133,NA,1.6328792198779958,0.06028414434512556,1.31424748891144,0.04850238971264212,NA,TRUE,NA,TRUE,1963-10-01,2024-09-30,60.99931553730322
Härnösand,Stationary,37.639336177303605,NA,9.757634021403438,NA,NA,1.3160330637745938,NA,0.9871330510880151,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Härnösand,Exp model,33.84251934665165,0.12829479859072357,2.1345617291082792,0.003843910043400746,NA,2.4184059016606225,0.0728347213501637,0.20418317979803488,0.0056876026205084215,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Härnösand,Linear model,33.8163799879718,0.12909879340981925,8.377665599138101,0.03771353856750934,NA,2.4234761133787615,0.07312395394003178,1.8513012279201597,0.055333154174253024,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Håvelund,Stationary,31.266025525538595,NA,7.469925313266453,NA,NA,1.0078346948027508,NA,0.7429622007869134,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Håvelund,Exp model,27.908575331105034,0.11601687828547595,1.7311882520698287,0.008376644706592653,NA,1.8233646099833065,0.06140178191043283,0.20516738663514017,0.00586195557727457,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Håvelund,Linear model,28.103922441176582,0.10737030613065476,5.804503310517319,0.051225485038335905,NA,1.8442142989811336,0.059164433507409096,1.2299681071161295,0.0388188669357878,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Höglekardalen,Stationary,40.750077413673594,NA,14.774745184152122,NA,NA,1.9940360737183223,NA,1.4800331091705268,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Höglekardalen,Exp model,41.90097444332227,-0.036740865354402144,2.7955122773397867,-0.003498317375330189,NA,4.242285795961649,0.11420575721234276,0.19391506519285548,0.005502024009731928,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Höglekardalen,Linear model,41.84980099023687,-0.03549389113746699,16.284140261302127,-0.05058706263091151,NA,4.221609175427796,0.11363994310832913,3.0055556327839503,0.08078673671590073,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Höljes,Stationary,28.796107089111157,NA,8.136380853529973,NA,NA,1.0854176639244013,NA,0.8595192581531755,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Höljes,Exp model,28.83885417352257,-0.0013886992077906607,2.138250381436869,-0.001359196450982371,NA,2.2517861315579344,0.06284255595880027,0.22087480722680103,0.006226548939791578,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Höljes,Linear model,28.852088812195433,-0.0018600600853997467,8.50887427331064,-0.011980172577713144,NA,2.2606073909230058,0.06310319031481551,1.8966572973890499,0.05279189623916595,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Jäckvik,Stationary,29.215882295929497,NA,8.180149633245447,NA,NA,1.1004876648387543,NA,0.8160341462534842,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Jäckvik,Exp model,27.243109383775998,0.06624695973254177,1.8890936461435965,0.006364290628314197,NA,1.9425675142964862,0.06119099035092525,0.22310295585228446,0.006186892220792949,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Jäckvik,Linear model,27.23567097524583,0.06625755216302559,6.554040246025185,0.04987449062551363,NA,1.9479215409814667,0.061046750006517096,1.5875096319623414,0.04768356459435519,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Kilagården,Stationary,27.15460316296423,NA,8.878159140572334,NA,NA,1.19508278800514,NA,0.918475667343646,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Kilagården,Exp model,26.162088117397808,0.03245870538840976,2.071182380177248,0.0034939000003972463,NA,2.2791128099227094,0.06798088628013654,0.19766029475229344,0.005371098639505556,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Kilagården,Linear model,26.196685540278665,0.031359281503526563,7.989112025970399,0.02807951701683134,NA,2.2814008328652022,0.06769176704921423,1.5981542944962166,0.04524609660689621,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Klippan,Stationary,31.846420468398758,NA,10.272599156824969,NA,NA,1.372387226832821,NA,1.0884071254794632,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Klippan,Exp model,29.59886560538539,0.07472265567970705,2.086262463963369,0.007365888405874591,NA,2.4494718264769917,0.07833277672005477,0.21240458678633717,0.0058948846166085546,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Klippan,Linear model,29.67168192616706,0.07248029179340716,7.938049186560025,0.07317677957931636,NA,2.423924966818874,0.07726239411654032,1.856141168034933,0.057762226888778266,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Kristinehamn,Stationary,29.03859661132352,NA,8.267620286011315,NA,NA,1.1114620685915106,NA,0.8527443063785237,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Kristinehamn,Exp model,31.223371759592208,-0.06857823727940601,2.3487210647819876,-0.007990765548943601,NA,2.5122854836595105,0.06353885668706646,0.22618681746620606,0.006429618248072652,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Kristinehamn,Linear model,31.370765057005443,-0.07362638359225412,10.492624989175487,-0.07175504528124084,NA,2.540987280681634,0.06414676377460478,2.1128617818029474,0.05362827920355858,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Ljusnedal,Stationary,24.542178089924718,NA,6.285673286971897,NA,NA,0.8486309358549178,NA,0.6240773942410052,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Ljusnedal,Exp model,23.32999806054055,0.04008405959255896,1.7602075447211274,0.002365672095140214,NA,1.6591586805806262,0.04880957921090362,0.18817366362909185,0.005134464620585651,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Ljusnedal,Linear model,23.354714982723333,0.039234753227269575,5.84150144138052,0.013568076188161816,NA,1.6522494871266062,0.04830321829024784,1.099014510477911,0.03079515919858749,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Lund,Stationary,27.85891108823793,NA,7.636588321200353,NA,NA,1.0266711367910892,NA,0.8003947128933399,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Lund,Exp model,23.553260939080847,0.14733883710243847,1.786035629606167,0.006153459474698572,NA,1.794093649127666,0.056199038631803325,0.20418933646115528,0.005661158394014562,NA,TRUE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Lund,Linear model,23.569641160160167,0.14712098840058815,5.968821131799701,0.04164148185010172,NA,1.797306959933193,0.05603263427360332,1.298306893151056,0.039286488117577005,NA,TRUE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Mariestad,Stationary,28.43830015257864,NA,8.429800630401619,NA,NA,1.1407860059255157,NA,0.8227777148388457,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Mariestad,Exp model,24.849011226204418,0.12123484615539082,2.0137614696901944,0.0027870316035372737,NA,2.1564776434728046,0.06411466236352298,0.2021658072900173,0.005842071889223993,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Mariestad,Linear model,24.841521643159727,0.12136152726226536,7.461954931713744,0.023075673241448862,NA,2.1560976060005235,0.06390760331279446,1.5948598078995744,0.048348428037118224,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Mångsbodarna,Stationary,30.028884992670367,NA,7.505523545933665,NA,NA,1.0074442015169676,NA,0.7782786246167961,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Mångsbodarna,Exp model,28.39588155828413,0.05693019275006523,2.2176303815637506,-0.008236873471387492,NA,2.1942100528514947,0.05557740723604094,0.21367361855041236,0.005953497056478977,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Mångsbodarna,Linear model,28.347469924747585,0.058026524760615095,8.947292295255199,-0.056566819412976796,NA,2.165336664789545,0.054964915166236174,1.6777862700462125,0.04149926177845659,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Ockelbo,Stationary,33.402067760466934,NA,9.483899609765466,NA,NA,1.2636233362618323,NA,1.0211899098782684,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Ockelbo,Exp model,31.82991282170314,0.052619517855879934,2.3299453918290727,-0.0033645051569330207,NA,2.6216488256458685,0.07013210415052959,0.2065073997297919,0.005895671197955451,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Ockelbo,Linear model,31.76576130503711,0.054360218219632314,10.198232541718946,-0.02938227796311662,NA,2.606495583643836,0.06981032790693287,1.952960777591941,0.052173293001741276,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Prästkulla,Stationary,29.34212562571568,NA,8.89099780747821,NA,NA,1.1900073842069088,NA,0.9092631185428959,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Prästkulla,Exp model,26.96950867637907,0.07632776864812986,1.8152530138477814,0.0114455088176524,NA,2.0446084511273206,0.07084357693277844,0.22859511202763405,0.00684375920940178,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Prästkulla,Linear model,27.09824440197746,0.0737452496238408,5.362331066363117,0.11613252689077097,NA,1.9223280949010821,0.068998724979270315,1.629592466840003,0.05990110299508082,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Ramsjöholm,Stationary,28.961433365845053,NA,9.938798525579461,NA,NA,1.3334990734012748,NA,1.041126696385428,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Ramsjöholm,Exp model,25.133482696951887,0.1289195678551695,2.0931707123291705,0.005809115784857985,NA,2.389034494959818,0.07410664942927761,0.21303784688526195,0.0061249154881995544,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Ramsjöholm,Linear model,25.118305055917592,0.1296956866095912,7.88717471314251,0.06073914788926137,NA,2.359726449311131,0.07379190746055032,1.9249306531174886,0.061744317286965646,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Saittarova D,Stationary,26.971991463962322,NA,7.020319733795885,NA,NA,0.9483540714467195,NA,0.7051742002161641,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Saittarova D,Exp model,23.10157951239601,0.13418136405968287,1.8807996389938384,-7.211964609897958e-4,NA,1.8099497280074874,0.05147135662051191,0.21273238000057934,0.005695696272360029,NA,TRUE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Saittarova D,Linear model,23.085256163086388,0.1346935546761439,6.534278695721562,-0.003924812298847211,NA,1.77353223920802,0.050246316595548624,1.2986662905520099,0.03384588955934316,NA,TRUE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Sjögärde,Stationary,29.044483180936425,NA,8.143291984596988,NA,NA,1.0898374347626507,NA,0.8641956164596911,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Sjögärde,Exp model,26.76411241339818,0.0769823034779122,1.890907702209711,0.006260663310162586,NA,1.9461583741301711,0.06124267083050847,0.22050844744319015,0.0062858017377781265,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Sjögärde,Linear model,26.668638711269057,0.08010503782530924,6.305636486793714,0.058173527662796175,NA,1.9156107438027745,0.06116509526136227,1.6517388313682102,0.05396177522837113,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Säffle,Stationary,33.73792397590785,NA,10.652752190762465,NA,NA,1.4299150408438805,NA,1.1144275936765764,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Säffle,Exp model,28.280150754616702,0.1856616785635384,2.041900404601627,0.009018240716723263,NA,2.445790265761278,0.08059782206830798,0.1956754105826856,0.005410817709447925,NA,TRUE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Säffle,Linear model,28.443899200699757,0.18067720988699806,7.766769774718875,0.08204848425886861,NA,2.441890417340007,0.07918434891384711,1.64555672046745,0.05174389146281914,NA,TRUE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Sörbytorp,Stationary,30.299847249450544,NA,8.192181807965373,NA,NA,1.10320427627509,NA,0.843976019304464,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Sörbytorp,Exp model,29.42036325206075,0.02966419303987225,1.9562854756043355,0.004464993884523778,NA,2.038772983085178,0.06253411250296842,0.213470843781378,0.005803486587778293,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Sörbytorp,Linear model,29.45315565215708,0.02836669905143334,7.10141074731227,0.03383060949654691,NA,2.0415449982819456,0.06207258055785203,1.5716561048178275,0.04518388970554531,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Traneberg,Stationary,28.927032129351364,NA,8.552489512271558,NA,NA,1.1486937874312422,NA,0.8810994165528256,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Traneberg,Exp model,26.84799253216441,0.07119365973790187,1.7393759986297617,0.011945920232575033,NA,1.8306718530652923,0.0636199216652428,0.2068415764404952,0.005671371592544021,NA,FALSE,NA,TRUE,1963-10-01,2024-09-30,60.99931553730322
Traneberg,Linear model,26.908631544996542,0.06886238748449165,5.530774521032299,0.09356444554551112,NA,1.8117008296945567,0.062372102393708204,1.3470548310790276,0.044862590573602125,NA,FALSE,NA,TRUE,1963-10-01,2024-09-30,60.99931553730322
Ungsberg,Stationary,27.937435648359024,NA,8.80745594607935,NA,NA,1.1861184392494994,NA,0.8978352342215364,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Ungsberg,Exp model,27.347873306418958,0.019272845895212685,2.204364511044023,-0.0010582498571055656,NA,2.412556780322671,0.06686291002380397,0.20564052400685084,0.006011763833546707,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Ungsberg,Linear model,27.35617259823945,0.018988903089818113,9.083646235786999,-0.010045866768510684,NA,2.4231024323155843,0.0671405964645073,1.8994423170359944,0.05518137166415832,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Uppsala,Stationary,26.377875767473842,NA,9.356824595228877,NA,NA,1.2500610457718384,NA,0.9784277962006798,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Uppsala,Exp model,24.412610654014074,0.06515048210622292,1.847837355884332,0.011959721658365457,NA,2.00610486622828,0.0689480800036286,0.22580311946143553,0.0065845210507695815,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Uppsala,Linear model,24.16849444796363,0.07461925973976996,5.63727724182512,0.12196058708278157,NA,1.935415438811303,0.0687830168241284,1.6035382263502203,0.05831283292839946,NA,FALSE,NA,TRUE,1963-10-01,2024-09-30,60.99931553730322
Ytterberg D,Stationary,26.728039937381524,NA,7.090288420053616,NA,NA,0.949826115618053,NA,0.7597858582023789,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Ytterberg D,Exp model,26.090607356169006,0.020870772578577192,2.084044809766014,-0.004193871927841348,NA,2.025525971233024,0.05412662213570795,0.21158916020456878,0.005762551249161251,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Ytterberg D,Linear model,26.092277599004223,0.020905052093999697,7.963927490614456,-0.028630635885055516,NA,2.023472594789585,0.05411175658394611,1.5724490733664123,0.04018970318667849,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Åby,Stationary,27.269208728588875,NA,8.546235640569808,NA,NA,1.140068631374484,NA,0.9323153582487418,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Åby,Exp model,23.231015284993312,0.1512832110593579,1.2363248167140022,0.02651971844515758,NA,1.317728840828304,0.062084496265220876,0.21741350311544763,0.00644552255211998,NA,TRUE,NA,TRUE,1963-10-01,2024-09-30,60.99931553730322
Åby,Linear model,23.42600317949655,0.13793609275631044,1.7345329845899722,0.22909661376978416,NA,0.9806491723799491,0.05584119573229271,0.8063111608700634,0.04825196056030829,NA,TRUE,NA,TRUE,1963-10-01,2024-09-30,60.99931553730322
Åkroken D,Stationary,30.811767968135584,NA,10.09318376284664,NA,NA,1.3611718941856605,NA,1.0297489105040658,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Åkroken D,Exp model,29.997915871042572,0.02694267322332298,2.1822476001837776,0.004084901891516267,NA,2.5198559651409527,0.07606257131372894,0.22244720134203827,0.006365999885280749,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Åkroken D,Linear model,29.92556420639792,0.029389401747356277,8.589170376916236,0.048698454050915704,NA,2.497052893572885,0.07642427949926868,2.21689235218139,0.0691721202621905,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Åtorp,Stationary,29.360323862508405,NA,6.5177163989543,NA,NA,0.8759813034905619,NA,0.6619686990434593,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Åtorp,Exp model,31.52641898268661,-0.06810877917360926,1.8545860664000309,-1.4376313091248198e-5,NA,1.7756838110762734,0.0501632737387098,0.1807265008659724,0.005215804569147132,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Åtorp,Linear model,31.526088901202606,-0.06809773590241658,6.388651383672079,-7.849348373627423e-5,NA,1.7480356204051777,0.049131279172632165,1.0922254170960715,0.030680410901040418,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
