Station,Model,Location_Intercept,Location_Slope,Scale_Intercept,Scale_Slope,Shape,Location_SE_Intercept,Location_SE_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape_SE,Location_Slope_Significant,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Avasjö-Borgafjäll D,Stationary,29.749464559105085,NA,7.17229947848495,NA,NA,0.9665015714227312,NA,0.7376957247397655,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Avasjö-Borgafjäll D,Exp model,27.131983650073778,0.08823445040769168,7.0005314635537115,NA,NA,1.8825691542787546,0.053379552890904736,0.7198027829520242,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Avasjö-Borgafjäll D,Linear model,27.13093052508862,0.08824125909125383,7.00175021104253,NA,NA,1.8830374752780388,0.05339376710536053,0.7201007561744823,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Stationary,28.331845938827758,NA,7.955522526220208,NA,NA,1.0686052726978312,NA,0.8181210821855196,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Exp model,32.29976914277361,-0.12379609799372726,7.578218423745959,NA,NA,1.9626055652368701,0.054495403356905135,0.784539816056724,NA,NA,TRUE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Linear model,32.29703829695734,-0.12370771197096436,7.578056672739973,NA,NA,1.9626491160541544,0.054494214082322606,0.7845052992452819,NA,NA,TRUE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Stationary,29.400001060337868,NA,7.616694633903972,NA,NA,1.0264219017109069,NA,0.7840326928937871,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Exp model,27.351156335972526,0.06924442340549271,7.544378684301105,NA,NA,1.9581616065580045,0.055344908968954304,0.770265463921393,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Linear model,27.351080640033942,0.06924683619850125,7.544352844616606,NA,NA,1.9581568967157144,0.05534471406978667,0.7702592091562067,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Grönliden,Stationary,28.163865084567824,NA,8.011133906325155,NA,NA,1.0748982451652758,NA,0.8267571774349626,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Grönliden,Exp model,28.939512474977775,-0.025115702518113105,7.988953008594726,NA,NA,2.062444080157686,0.057532387744500785,0.8266584406746391,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Grönliden,Linear model,28.938983324842397,-0.025106579250211092,7.988800700850419,NA,NA,2.062431354296362,0.057531939258588766,0.8266267552697071,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hallstaberg,Stationary,28.060217848980784,NA,9.184608379949909,NA,NA,1.2228913371675139,NA,0.9728779175406891,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hallstaberg,Exp model,27.635582131135415,0.013830421381380381,9.173224917711575,NA,NA,2.3664870296178693,0.06559966187092643,0.9737887609031424,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hallstaberg,Linear model,27.62367301109195,0.014144080202324437,9.171820857199174,NA,NA,2.366536657125994,0.06559340616287754,0.9735056133255116,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hanö A,Stationary,24.415538211409654,NA,8.248981482790033,NA,NA,1.1042595374137856,NA,0.8606928270548897,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hanö A,Exp model,22.507974612905244,0.0638468944321295,8.156770960223207,NA,NA,2.038172169722492,0.05640175022417098,0.8521192973941499,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hanö A,Linear model,22.51140167958288,0.06372139509449483,8.156238214957234,NA,NA,2.037918971811732,0.056398115472017,0.8520026234151753,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Heden,Stationary,35.73344325407689,NA,8.197664152518609,NA,NA,1.1071163316843018,NA,0.8172550294824895,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Heden,Exp model,33.06030285788527,0.09087578918324964,8.07245831676734,NA,NA,2.106237165490814,0.05953200442683222,0.8029740634483808,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Heden,Linear model,33.06042250641544,0.09087573336564085,8.072446913315645,NA,NA,2.1062216908729323,0.059531472312219974,0.8029690872103099,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hyltan,Stationary,27.247172872148568,NA,8.345570717962287,NA,NA,1.1174088447385697,NA,0.8819508032659137,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hyltan,Exp model,24.238694413861676,0.10281099120023061,8.224440573980317,NA,NA,2.146787782425673,0.0609457351379838,0.862273725176423,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hyltan,Linear model,24.240180318097796,0.10275890211997206,8.224266406033275,NA,NA,2.146678606189208,0.06094392456417439,0.8622374231026659,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Härnösand,Stationary,37.639336177303605,NA,9.757634021403438,NA,NA,1.3160330637745938,NA,0.9871330510880151,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Härnösand,Exp model,34.39795148559002,0.10980733386176067,9.5627408115687,NA,NA,2.440054122496101,0.06820842696952287,0.9652670300403688,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Härnösand,Linear model,34.39811831135058,0.10980694972804839,9.562773747229356,NA,NA,2.44004794530022,0.06820815815982308,0.9652717665980284,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Håvelund,Stationary,31.266025525538595,NA,7.469925313266453,NA,NA,1.0078346948027508,NA,0.7429622007869134,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Håvelund,Exp model,29.495608637106688,0.060095956246539975,7.390689958633572,NA,NA,1.7490106143789232,0.0476894984108934,0.7343511919837132,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Håvelund,Linear model,29.495565570624702,0.06009658777492894,7.390647865265066,NA,NA,1.7490013749611526,0.047689222181481035,0.7343418341035826,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Höglekardalen,Stationary,40.750077413673594,NA,14.774745184152122,NA,NA,1.9940360737183223,NA,1.4800331091705268,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Höglekardalen,Exp model,40.991508291026285,-0.00779343353218514,14.778620674670607,NA,NA,3.807706510239713,0.10478658240955195,1.481028986973929,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Höglekardalen,Linear model,40.991430911822555,-0.00778654957712174,14.778958482078782,NA,NA,3.8078019286222813,0.10478906973181369,1.4811053840905544,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Höljes,Stationary,28.796107089111157,NA,8.136380853529973,NA,NA,1.0854176639244013,NA,0.8595192581531755,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Höljes,Exp model,28.65023142088914,0.004779885900573632,8.136328296863503,NA,NA,2.027925471071683,0.05587694088205706,0.8594707715606426,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Höljes,Linear model,28.641572905827807,0.0050574351616290755,8.142870113283177,NA,NA,2.0301753173507784,0.05593499439548292,0.8610400862375963,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Jäckvik,Stationary,29.215882295929497,NA,8.180149633245447,NA,NA,1.1004876648387543,NA,0.8160341462534842,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Jäckvik,Exp model,27.93844693020327,0.042699474729974755,8.173369118344704,NA,NA,2.0708909417677677,0.05778448419554649,0.8106596035086147,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Jäckvik,Linear model,27.94154701488222,0.04252846375481096,8.17173488062314,NA,NA,2.0703983526300607,0.057775582700490075,0.8103268531258243,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Kilagården,Stationary,27.15460316296423,NA,8.878159140572334,NA,NA,1.19508278800514,NA,0.918475667343646,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Kilagården,Exp model,26.556391231399328,0.01969104226540418,8.877935287593822,NA,NA,2.3283071899501078,0.06543908153242707,0.9174537382059907,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Kilagården,Linear model,26.556280586286352,0.019694232597183885,8.877932535951723,NA,NA,2.3283111195573785,0.06543912768994961,0.9174531625930054,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Klippan,Stationary,31.846420468398758,NA,10.272599156824969,NA,NA,1.372387226832821,NA,1.0884071254794632,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Klippan,Exp model,30.30150934497332,0.051439571662494715,10.263791634697593,NA,NA,2.661720732788277,0.07501483975620465,1.083267221056018,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Klippan,Linear model,30.30431792825558,0.05137416028737171,10.263836483323514,NA,NA,2.661576809396161,0.0750120929311605,1.0832697273802667,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Kristinehamn,Stationary,29.03859661132352,NA,8.267620286011315,NA,NA,1.1114620685915106,NA,0.8527443063785237,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Kristinehamn,Exp model,30.072451045951347,-0.0330836796730769,8.257944257786884,NA,NA,2.08723597672047,0.05715897930443357,0.8507750062439402,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Kristinehamn,Linear model,30.072433332654512,-0.033083299308331086,8.257938404230753,NA,NA,2.0872349774970584,0.057158944758838315,0.8507737564709129,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ljusnedal,Stationary,24.542178089924718,NA,6.285673286971897,NA,NA,0.8486309358549178,NA,0.6240773942410052,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ljusnedal,Exp model,23.628836241396815,0.030226798830878778,6.267944829106207,NA,NA,1.584796845618318,0.04382943296307627,0.6214012766507596,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ljusnedal,Linear model,23.62885558800392,0.03022633960230471,6.267948355691961,NA,NA,1.5847969780641107,0.04382944511628427,0.6214020177219117,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Lund,Stationary,27.85891108823793,NA,7.636588321200353,NA,NA,1.0266711367910892,NA,0.8003947128933399,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Lund,Exp model,23.799261808638903,0.1393740762038424,7.276795731890334,NA,NA,1.9759817518624774,0.05647154981670335,0.7646871824145264,NA,NA,TRUE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Lund,Linear model,23.796939438862086,0.1394115084024889,7.277308427073755,NA,NA,1.976319413310414,0.05648124329304106,0.7648241711110364,NA,NA,TRUE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Mariestad,Stationary,28.43830015257864,NA,8.429800630401619,NA,NA,1.1407860059255157,NA,0.8227777148388457,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Mariestad,Exp model,25.308903106799324,0.10588335719566701,8.164081447921252,NA,NA,2.017017963589362,0.055166604279514156,0.8020366640589571,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Mariestad,Linear model,25.30867694652839,0.10589221951356532,8.164022994032655,NA,NA,2.01700464479633,0.05516593610605518,0.8020221810584026,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Mångsbodarna,Stationary,30.028884992670367,NA,7.505523545933665,NA,NA,1.0074442015169676,NA,0.7782786246167961,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Mångsbodarna,Exp model,27.370586611649323,0.08845886539357067,7.199500606276828,NA,NA,1.841787069419232,0.050654045141636406,0.7635599718499774,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Mångsbodarna,Linear model,27.37069172101835,0.08845640629264558,7.1993679518664875,NA,NA,1.8417434917661033,0.05065282330925845,0.7635283077070193,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ockelbo,Stationary,33.402067760466934,NA,9.483899609765466,NA,NA,1.2636233362618323,NA,1.0211899098782684,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ockelbo,Exp model,31.43972813734219,0.06461799349408914,9.32266761555159,NA,NA,2.418032790867874,0.06708742821863835,1.0198145256668034,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ockelbo,Linear model,31.44399198523343,0.06454023324720086,9.32282269929341,NA,NA,2.4178699928379257,0.06708297262535981,1.0198185221929286,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Prästkulla,Stationary,29.34212562571568,NA,8.89099780747821,NA,NA,1.1900073842069088,NA,0.9092631185428959,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Prästkulla,Exp model,26.87118104079767,0.08281030361136615,8.811910161343977,NA,NA,2.413405666900029,0.0689581161095816,0.9001627983037421,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Prästkulla,Linear model,26.885641737143594,0.08239929878903686,8.812526877427478,NA,NA,2.4129323504166273,0.06895552509230589,0.900273444515504,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ramsjöholm,Stationary,28.961433365845053,NA,9.938798525579461,NA,NA,1.3334990734012748,NA,1.041126696385428,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ramsjöholm,Exp model,25.5227313294899,0.11607951991422459,9.737150716617213,NA,NA,2.5747192551308626,0.07272730952801469,1.0216881381938603,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ramsjöholm,Linear model,25.522525442499127,0.11608134497130827,9.73684605277337,NA,NA,2.574647927890808,0.07272526449737814,1.0216193629971753,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Saittarova D,Stationary,26.971991463962322,NA,7.020319733795885,NA,NA,0.9483540714467195,NA,0.7051742002161641,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Saittarova D,Exp model,22.98972120298369,0.13782630686260322,6.405760919259717,NA,NA,1.5549949135267922,0.04242956951166607,0.6507899551096961,NA,NA,TRUE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Saittarova D,Linear model,22.988598606856495,0.13784922039346226,6.405621754569846,NA,NA,1.5550127541956211,0.04242977899332355,0.6507633222276515,NA,NA,TRUE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Sjögärde,Stationary,29.044483180936425,NA,8.143291984596988,NA,NA,1.0898374347626507,NA,0.8641956164596911,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Sjögärde,Exp model,27.440136721345713,0.0538336101882146,8.102188227258445,NA,NA,2.033993076449201,0.056737752500068225,0.8571196619530043,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Sjögärde,Linear model,27.44145017421652,0.0538316358500272,8.101086090635926,NA,NA,2.033547098858637,0.05672410293481542,0.8568401966202923,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Säffle,Stationary,33.73792397590785,NA,10.652752190762465,NA,NA,1.4299150408438805,NA,1.1144275936765764,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Säffle,Exp model,29.22175336127262,0.1546588167836299,10.354990138571946,NA,NA,2.707505296803584,0.07682194386973033,1.0819463218759178,NA,NA,TRUE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Säffle,Linear model,29.21804707318617,0.15473698337125674,10.354011143488576,NA,NA,2.70743303678625,0.07681828691265771,1.0817368545678439,NA,NA,TRUE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Sörbytorp,Stationary,30.299847249450544,NA,8.192181807965373,NA,NA,1.10320427627509,NA,0.843976019304464,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Sörbytorp,Exp model,30.02932599391264,0.008959787918662789,8.198760133480029,NA,NA,2.0517282788537545,0.0570977801547019,0.8449021224272301,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Sörbytorp,Linear model,30.029293956678096,0.008950370197948325,8.198483429209436,NA,NA,2.0516666963041015,0.057096354462891054,0.8448448345538163,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Traneberg,Stationary,28.927032129351364,NA,8.552489512271558,NA,NA,1.1486937874312422,NA,0.8810994165528256,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Traneberg,Exp model,28.127826319072074,0.026863318385719596,8.578692212475787,NA,NA,2.1774784795609388,0.061472914442437174,0.8828924977403462,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Traneberg,Linear model,28.128429737609366,0.026774490729865836,8.577380533747844,NA,NA,2.17720381627078,0.06146737379893724,0.8826324356126651,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ungsberg,Stationary,27.937435648359024,NA,8.80745594607935,NA,NA,1.1861184392494994,NA,0.8978352342215364,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ungsberg,Exp model,27.233545549478027,0.02295947398996551,8.786110036758377,NA,NA,2.2902358144112713,0.06355211061083026,0.8985186009895821,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ungsberg,Linear model,27.23344945242215,0.022962867181286487,8.786138959120583,NA,NA,2.290245945964108,0.06355229978662048,0.8985253636339893,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Uppsala,Stationary,26.377875767473842,NA,9.356824595228877,NA,NA,1.2500610457718384,NA,0.9784277962006798,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Uppsala,Exp model,25.05606230304989,0.04396774083354958,9.357904735762434,NA,NA,2.493798196041278,0.07094038988264165,0.9765505689957089,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Uppsala,Linear model,25.05567908223276,0.04400447918520725,9.358031364827,NA,NA,2.4938085705803705,0.07093943232612476,0.9765658046457343,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ytterberg D,Stationary,26.728039937381524,NA,7.090288420053616,NA,NA,0.949826115618053,NA,0.7597858582023789,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ytterberg D,Exp model,25.848646276646225,0.028831005036199866,7.064809617375723,NA,NA,1.8959960469684018,0.05337281106345023,0.7574920675501635,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Ytterberg D,Linear model,25.849152497418203,0.0288199876802433,7.0645199160587975,NA,NA,1.8958838121086379,0.05336971630352847,0.7574223662698768,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Åby,Stationary,27.269208728588875,NA,8.546235640569808,NA,NA,1.140068631374484,NA,0.9323153582487418,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Åby,Exp model,25.623454246340543,0.05594150077819307,8.562562463558804,NA,NA,2.1065070840337663,0.058968396158893904,0.9291720323833003,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Åby,Linear model,25.620141582962457,0.056056008554482534,8.562791504727311,NA,NA,2.1067596589277215,0.0589733597523322,0.9292127375631419,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Åkroken D,Stationary,30.811767968135584,NA,10.09318376284664,NA,NA,1.3611718941856605,NA,1.0297489105040658,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Åkroken D,Exp model,30.3467228026238,0.01533685879388683,10.0965980319717,NA,NA,2.641842009586915,0.07447177563445447,1.0295442928313476,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Åkroken D,Linear model,30.347177427618984,0.01532804954983282,10.09638261807141,NA,NA,2.6417492094628336,0.07446916251004541,1.0294914561037716,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Åtorp,Stationary,29.360323862508405,NA,6.5177163989543,NA,NA,0.8759813034905619,NA,0.6619686990434593,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Åtorp,Exp model,31.524207345242438,-0.06803749056942728,6.386341043331552,NA,NA,1.5879477235784727,0.04313685978763196,0.6455692696283597,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Åtorp,Linear model,31.524410036994336,-0.06804291342116477,6.386426115752873,NA,NA,1.587964728132476,0.043137469472081844,0.6455882464622407,NA,NA,FALSE,NA,NA,60.99931553730322,1963-10-01,2024-09-30
